,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Fomboni,1,KM,1558564480,76,-12.28,43.74,81.06,15.48
374,Mecca,0,SA,1558564481,32,21.43,39.83,87.72,3.27
375,Ancud,90,CL,1558564482,81,-41.87,-73.83,44.6,4.7
376,Hobyo,29,SO,1558564484,70,5.35,48.53,82.5,8.55
377,Shingu,0,JP,1558564485,35,33.72,135.99,68.46,4.5
378,Tilichiki,100,RU,1558564384,61,60.47,166.1,46.86,11.36
379,Effingham,1,US,1558564487,51,39.12,-88.54,84.2,12.75
380,Belaya Gora,100,RU,1558564489,83,68.54,146.19,41.64,17.38
381,Leiyang,0,CN,1558564490,62,26.42,112.85,74.76,1.86
382,Bezhanitsy,25,RU,1558564491,91,56.97,29.88,56.04,3.67
383,Udankudi,4,IN,1558564492,77,8.43,78.03,83.58,9.19
384,El Dorado,90,VE,1558564494,97,6.71,-61.64,71.52,3.11
385,Wismar,40,DE,1558564495,81,53.89,11.46,50.0,11.41
386,Leshukonskoye,26,RU,1558564382,82,64.9,45.76,29.58,7.09
387,Deogarh,1,IN,1558564497,81,21.53,84.72,81.24,4.56
388,Visby,0,SE,1558564499,87,57.64,18.3,59.0,2.24
389,Noumea,0,NC,1558564441,64,-22.28,166.46,73.4,2.24
390,Gavle,31,SE,1558564501,87,60.67,17.14,50.0,4.0
391,Pontal do Parana,75,BR,1558564502,94,-25.67,-48.51,73.0,8.05
392,Presidencia Roque Saenz Pena,87,AR,1558564503,89,-26.79,-60.44,57.48,8.81
393,Umm Kaddadah,74,SD,1558564505,6,13.6,26.69,79.8,8.41
394,Aljezur,1,PT,1558564506,91,37.31,-8.8,64.99,1.01
395,San Patricio,82,PY,1558564507,93,-26.98,-56.83,61.8,7.4
396,Uppsala,29,SE,1558564509,87,59.86,17.64,60.8,3.36
397,Siuna,97,NI,1558564510,98,13.73,-84.78,72.42,2.98
398,Keti Bandar,0,PK,1558564511,85,24.14,67.45,83.94,15.99
399,Sandpoint,40,US,1558564512,31,48.28,-116.55,71.01,5.82
400,Kajaani,90,FI,1558564514,80,64.22,27.73,39.2,16.11
401,Vardo,1,US,1558564515,37,39.62,-77.74,72.0,13.87
402,Waipawa,19,NZ,1558564516,81,-39.94,176.59,60.01,3.29
403,Boa Esperanca do Sul,0,BR,1558564517,72,-21.99,-48.39,68.0,2.24
404,Porto Walter,79,BR,1558564519,78,-8.27,-72.74,77.1,2.04
405,Narsaq,90,GL,1558564520,26,60.91,-46.05,57.2,29.97
406,Caravelas,7,BR,1558564521,79,-17.73,-39.27,76.2,5.21
407,Khakhea,0,BW,1558564522,32,-24.69,23.5,63.24,9.6
408,Marabba,78,SD,1558564524,25,12.35,32.18,96.54,8.39
409,Yarada,20,IN,1558564525,83,17.65,83.27,84.2,4.7
410,Yuci,0,CN,1558564526,61,37.68,112.73,50.0,2.24
411,Puerto Asis,75,CO,1558564527,58,0.51,-76.5,87.8,4.7
412,Grosse Pointe Farms,1,CA,1558564529,56,42.41,-82.89,72.0,9.17
413,Nampula,20,MZ,1558564530,88,-15.12,39.26,69.8,5.82
414,San Cristobal,20,EC,1558564531,64,-0.39,-78.55,68.0,11.41
415,Sibut,61,CF,1558564533,77,5.73,19.09,74.94,3.83
416,Tshikapa,94,CD,1558564534,60,-6.42,20.79,76.56,2.28
417,Clonakilty,75,IE,1558564535,93,51.62,-8.87,52.0,1.12
418,San Quintin,63,PH,1558564536,55,17.54,120.52,86.46,1.28
419,Nushki,16,PK,1558564537,50,29.55,66.02,73.32,1.77
420,Inirida,86,CO,1558564539,84,3.87,-67.92,77.64,2.26
421,Great Falls,40,US,1558564540,41,47.5,-111.29,62.6,13.87
422,Tamugan,75,PH,1558564541,100,7.23,125.38,75.99,2.24
423,Lovington,1,US,1558564543,7,32.94,-103.35,89.6,18.34
424,Twentynine Palms,90,US,1558564266,66,34.14,-116.05,66.99,7.92
425,Srednekolymsk,98,RU,1558564545,63,67.46,153.71,50.46,19.35
426,Fare,79,PF,1558564546,70,-16.7,-151.02,82.32,6.91
427,Marsa Matruh,0,EG,1558564459,64,31.35,27.25,75.2,6.93
428,Cairns,40,AU,1558564402,88,-16.92,145.77,73.99,11.41
429,Hyeres,0,FR,1558564550,93,43.12,6.14,64.99,3.36
430,Guanica,90,PR,1558564551,83,17.97,-66.91,82.99,10.29
431,Jining,0,CN,1558564478,24,35.41,116.58,84.3,10.98
432,Port Augusta,0,AU,1558564553,100,-32.49,137.76,46.4,4.7
433,Palmer,1,US,1558564292,34,61.6,-149.11,66.0,21.92
434,Haines Junction,0,CA,1558564556,28,60.75,-137.51,61.26,13.13
435,Coquimbo,0,CL,1558564557,71,-29.95,-71.34,55.4,3.36
436,Sabang,75,PH,1558564558,72,13.72,123.58,84.3,2.71
437,Thompson,75,CA,1558564560,37,55.74,-97.86,53.6,9.17
438,Yumen,0,CN,1558564561,10,40.29,97.04,71.34,7.29
439,Dolores,0,AR,1558564562,61,-36.31,-57.68,48.48,3.91
440,Rocha,90,UY,1558564556,89,-34.48,-54.34,52.8,3.98
441,Nabire,100,ID,1558564565,75,-3.36,135.5,78.0,2.26
442,Lebu,96,ET,1558564566,89,8.96,38.73,56.76,0.85
443,Bamnet Narong,99,TH,1558564567,81,15.5,101.69,79.62,2.24
444,Victoria,75,BN,1558564569,88,5.28,115.24,80.6,2.8
445,Roseburg,75,US,1558564570,52,43.22,-123.34,69.01,8.05
446,Vila Velha,0,BR,1558564445,83,-3.71,-38.6,81.0,6.93
447,Marawi,96,PH,1558564572,82,8.0,124.29,77.0,5.99
448,Arbuzynka,100,UA,1558564574,71,47.91,31.32,59.64,3.06
449,Acandi,100,CO,1558564575,96,8.51,-77.28,74.94,1.3
450,Tucumcari,1,US,1558564576,11,35.17,-103.73,84.2,18.34
451,Ailigandi,98,PA,1558564577,75,9.23,-78.02,83.4,5.66
452,Dakar,20,SN,1558564579,94,14.69,-17.45,69.8,16.11
453,Mount Isa,0,AU,1558564580,55,-20.73,139.49,66.2,1.12
454,Imbituba,75,BR,1558564401,94,-28.24,-48.67,68.0,2.24
455,Quelimane,40,MZ,1558564582,78,-17.88,36.89,73.4,2.24
456,Tara,0,JP,1558564584,77,33.0,130.15,66.0,3.36
457,Cartagena del Chaira,100,CO,1558564585,97,1.33,-74.84,72.24,1.3
458,Smithers,75,CA,1558564586,35,54.78,-127.17,69.8,5.82
459,Floro,75,NO,1558564588,93,61.6,5.03,52.0,8.05
460,High Level,1,CA,1558564589,40,58.52,-117.13,68.0,13.87
461,San Borja,100,BO,1558564590,97,-14.86,-66.75,70.8,2.95
462,Peleduy,75,RU,1558564591,77,59.63,112.75,45.06,10.45
463,Valleyview,100,CA,1558564593,68,55.07,-117.28,57.66,9.19
464,Najran,75,SA,1558564594,93,17.54,44.22,66.2,10.29
465,Raychikhinsk,11,RU,1558564595,61,49.8,129.4,56.4,7.05
466,Vuktyl,100,RU,1558564596,80,63.86,57.31,39.66,4.76
467,Bathsheba,20,BB,1558564499,74,13.22,-59.52,80.6,16.11
468,Kanashevo,0,RU,1558564599,46,55.21,62.07,50.0,8.95
469,Suntar,48,RU,1558564600,50,62.16,117.65,56.94,5.39
470,Milas,0,TR,1558564601,72,37.31,27.78,66.2,2.24
471,Salvacion,100,PH,1558564602,96,13.85,121.93,77.0,2.06
472,Salme,71,TD,1558564604,5,13.3,19.7,90.96,9.15
473,Gusau,35,NG,1558564605,55,12.17,6.66,84.48,15.08
474,Zaragoza,0,ES,1558564553,48,41.65,-0.88,66.99,5.82
475,Vostok,72,RU,1558564607,86,46.45,135.83,49.74,4.85
476,Maple Creek,90,CA,1558564609,36,49.91,-109.46,65.58,10.25
477,Port Macquarie,90,AU,1558564610,76,-31.43,152.91,59.0,5.82
478,Sarai Naurang,100,PK,1558564611,44,32.83,70.78,78.18,6.22
479,Whitehorse,20,CA,1558564612,32,60.72,-135.06,71.01,9.17
480,Lazaro Cardenas,5,MX,1558564614,9,28.39,-105.62,96.8,23.04
481,Preobrazheniye,72,RU,1558564615,58,42.9,133.91,59.28,1.5
482,Sishui,0,CN,1558564616,28,35.66,117.27,78.18,6.87
483,Abbeville,28,FR,1558564617,93,50.11,1.83,54.0,3.36
484,Madimba,40,CM,1558564619,100,4.42,9.93,78.8,1.63
485,Tongliao,13,CN,1558564620,25,43.61,122.27,74.94,4.74
486,Tenali,7,IN,1558564621,78,16.24,80.65,83.94,7.34
487,Vyzhnytsya,0,UA,1558564622,59,48.25,25.19,60.8,2.24
488,Dobryanka,0,RU,1558564624,69,58.45,56.42,39.2,4.47
489,Saint George,40,GR,1558564625,59,39.45,22.34,60.8,4.81
490,Nsanje,0,MZ,1558564626,92,-16.92,35.26,57.66,1.63
491,Tessalit,0,ML,1558564627,9,20.2,1.01,90.06,7.11
492,Mehamn,93,NO,1558564629,76,71.03,27.85,33.54,10.67
493,Bambous Virieux,75,MU,1558564630,83,-20.34,57.76,75.2,6.93
494,Beidao,96,CN,1558564631,78,34.57,105.89,57.12,10.38
495,Lagos,20,NG,1558564532,88,6.46,3.39,78.8,2.24
496,Bijar,0,IR,1558564634,47,35.87,47.6,55.14,4.25
497,Paray-le-Monial,0,FR,1558564635,76,46.45,4.12,51.8,2.24
498,Istok,37,PL,1558564636,87,52.66,23.48,55.0,3.0
499,Avera,75,US,1558564637,49,33.19,-82.53,93.2,4.09
500,Vidalia,1,US,1558564639,59,31.57,-91.43,89.6,11.41
501,Ligayan,77,PH,1558564640,69,4.65,119.47,85.02,4.43
502,Uvira,100,CD,1558564641,98,-3.41,29.14,51.36,3.4
503,Comodoro Rivadavia,0,AR,1558564642,44,-45.87,-67.48,60.8,25.28
504,Saint-Francois,0,FR,1558564644,76,46.42,3.91,51.8,2.24
505,Teya,75,MX,1558564645,35,21.05,-89.07,99.0,13.87
506,Ocampo,84,PH,1558564646,68,13.56,123.37,85.92,0.92
507,Petropavlovsk-Kamchatskiy,90,RU,1558564647,100,53.05,158.65,41.0,11.18
508,Novochernorechenskiy,52,RU,1558564649,71,56.27,91.08,43.8,6.58
509,Honningsvag,40,NO,1558564650,75,70.98,25.97,34.98,8.68
510,Colonia,75,RO,1558564651,76,46.6,23.97,57.2,2.24
511,Heihe,0,RU,1558564652,87,50.24,127.51,46.4,2.24
512,Erdenet,97,MN,1558564654,66,49.03,104.04,57.48,3.24
513,Belawan,98,ID,1558564655,77,-0.59,114.46,76.74,0.94
514,Odda,100,NO,1558564656,93,60.07,6.55,50.0,8.99
515,Dahra,0,DZ,1558564657,65,36.25,0.85,68.0,10.29
